plot_type,n_variants,n_samples,n_values,dpi,average_mem,average_peak_mem,memory_0,memory_1,memory_2,memory_3,memory_4,memory_5,memory_6,memory_7,memory_8,memory_9,peak_memory_0,peak_memory_1,peak_memory_2,peak_memory_3,peak_memory_4,peak_memory_5,peak_memory_6,peak_memory_7,peak_memory_8,peak_memory_9
imshow,50,10000,500000,100,10437437.7,15430623.5,10472016,10467770,10475160,10304192,10472434,10465931,10467235,10473469,10308155,10468015,15465384,15461116,15467805,15297500,15465656,15459498,15460789,15466065,15301021,15461401
pcolorfast,50,10000,500000,150,10439805.4,15434556.3,10469868,10476572,10306288,10467222,10477273,10477081,10316673,10469982,10465602,10471493,15464137,15470994,15301249,15462122,15471593,15471434,15311586,15464944,15461212,15466292
pcolormesh,50,10000,500000,150,50528919.2,140701249.8,50566922,50399783,50558032,50558398,50559433,50568095,50395903,50558595,50559767,50564264,140738897,140572324,140731097,140730864,140731707,140740017,140568268,140730858,140731985,140736481
matshow,50,10000,500000,150,10437465.1,15430867.8,10474777,10305464,10468801,10466066,10471809,10475571,10305475,10467008,10471197,10468483,15467777,15298884,15462086,15460169,15465372,15468238,15298609,15460193,15465485,15461865
imshow,50,10000,500000,150,10436935.7,15430114.0,10474603,10302488,10472344,10467024,10467799,10474673,10310049,10467042,10467097,10466238,15467348,15295935,15465553,15460379,15460986,15467466,15303225,15460355,15460621,15459272
pcolorfast,50,10000,500000,200,10439199.0,15433976.9,10462074,10468355,10475927,10475783,10321193,10466934,10468030,10468773,10476499,10308422,15456928,15463204,15470332,15470132,15316262,15461670,15463597,15463524,15470979,15303141
pcolormesh,50,10000,500000,200,50528914.0,140701308.5,50560022,50561231,50562800,50564164,50398819,50559333,50556531,50562143,50566384,50397713,140733056,140733704,140735290,140736149,140571416,140731595,140728909,140734458,140738318,140570190
matshow,50,10000,500000,200,10437125.7,15430619.9,10469006,10466255,10471132,10471767,10305975,10468246,10471240,10467290,10474533,10305813,15462571,15460530,15464649,15464905,15298999,15461715,15465682,15460646,15467348,15299154
imshow,50,10000,500000,200,10438223.4,15431334.7,10470991,10467517,10468031,10475086,10309612,10468157,10467197,10467028,10483208,10305407,15464198,15460628,15461456,15467838,15302531,15461610,15460472,15460527,15475905,15298182
pcolorfast,500,10,5000,50,10439443.1,15434256.5,10468120,10470768,10316228,10468520,10469449,10477178,10477538,10310302,10469266,10467062,15463053,15465821,15311192,15463390,15464750,15471545,15471958,15305016,15463923,15461917
pcolormesh,500,10,5000,50,50529027.5,140701311.1,50559440,50567436,50400007,50558736,50559722,50558838,50564862,50401340,50559819,50560075,140731766,140739302,140572278,140731140,140732207,140731259,140736878,140573663,140732211,140732407
matshow,500,10,5000,50,10438084.5,15431440.9,10468385,10478483,10305172,10467757,10466914,10473149,10475475,10306516,10468682,10470312,15461851,15471367,15298054,15461226,15461122,15466620,15468103,15299339,15461956,15464771
imshow,500,10,5000,50,10437130.7,15430360.1,10466371,10475533,10303041,10471567,10467711,10468135,10475280,10309783,10467166,10466720,15460017,15468306,15296351,15464511,15461006,15461592,15467964,15303294,15460331,15460229
pcolorfast,500,10,5000,100,10440167.2,15434980.9,10478012,10304113,10469839,10475554,10477483,10320642,10467550,10466534,10466014,10475931,15472359,15299013,15464901,15470008,15471831,15315800,15462500,15462038,15460905,15470454
pcolormesh,500,10,5000,100,50529183.6,140701504.7,50400730,50560150,50559439,50561374,50563232,50397036,50559525,50559443,50564330,50566577,140573044,140733072,140731797,140733689,140735046,140569417,140731906,140732067,140736606,140738403
matshow,500,10,5000,100,10436895.2,15430297.9,10305179,10467543,10464603,10471647,10472605,10304626,10468387,10471457,10467431,10475474,15298567,15461165,15458605,15465139,15465288,15297994,15461569,15465416,15460889,15468347
imshow,500,10,5000,100,10437981.4,15431269.0,10305008,10470532,10468657,10466611,10473699,10308322,10469034,10467804,10467331,10482816,15298301,15464006,15462077,15459979,15466480,15301696,15462645,15461162,15460552,15475792
pcolorfast,500,10,5000,150,10439187.6,15434082.1,10467746,10469995,10478143,10316516,10469608,10469044,10467628,10475711,10313038,10464447,15462748,15464804,15472414,15311386,15464468,15464658,15462541,15470219,15308039,15459544
pcolormesh,500,10,5000,150,50528867.8,140701189.7,50559295,50560284,50564296,50405371,50557551,50560732,50558712,50564316,50399148,50558973,140731617,140732602,140736111,140577853,140730669,140732904,140731137,140736196,140571460,140731348
matshow,500,10,5000,150,10437267.5,15430781.9,10467770,10466506,10477125,10304884,10467707,10466961,10473376,10475750,10304756,10467840,15462168,15459736,15470010,15298186,15461423,15461011,15466812,15468863,15298324,15461286
imshow,500,10,5000,150,10437750.5,15430885.7,10471697,10467565,10473766,10303894,10471713,10468244,10467858,10474287,10309800,10468681,15465235,15460931,15466708,15297080,15465110,15461361,15461277,15466836,15302514,15461805
pcolorfast,500,10,5000,200,10440093.3,15434888.5,10469546,10477925,10305322,10466354,10476762,10477643,10317407,10470453,10466475,10473046,15464004,15472312,15300042,15461309,15471210,15472134,15312324,15465466,15462137,15467947
pcolormesh,500,10,5000,200,50528225.7,140700604.0,50566914,50399988,50557796,50557882,50556243,50565381,50396138,50558850,50558608,50564457,140739002,140572250,140731121,140730191,140728742,140737354,140568400,140731178,140731025,140736777
matshow,500,10,5000,200,10437001.3,15430343.9,10474434,10302563,10466447,10467245,10472401,10474884,10306191,10467583,10469796,10468469,15467126,15296242,15459293,15461439,15466049,15467725,15298931,15460881,15463995,15461758
imshow,500,10,5000,200,10437004.7,15430162.1,10473679,10303968,10471084,10467727,10467592,10474703,10308942,10468388,10467175,10466789,15466413,15297087,15464512,15460901,15460912,15467446,15301844,15461685,15460624,15460197
pcolorfast,500,100,50000,50,10438734.8,15433572.2,10462221,10467680,10475865,10476687,10320487,10465688,10467646,10467735,10475343,10307996,15457076,15462588,15470278,15471149,15315631,15460481,15463248,15462682,15469667,15302922
pcolormesh,500,100,50000,50,50527779.5,140700201.5,50558030,50558584,50561681,50561050,50397735,50558576,50557108,50562922,50564580,50397529,140731201,140730947,140734049,140732866,140570217,140730992,140729835,140735396,140736448,140570064
matshow,500,100,50000,50,10437415.2,15430897.7,10467951,10466427,10472869,10474602,10305949,10467199,10470988,10467583,10474620,10305964,15461706,15460898,15466181,15467420,15298915,15460499,15465611,15461090,15467334,15299323
imshow,500,100,50000,50,10437760.1,15430982.1,10471054,10466394,10465951,10473746,10310923,10467890,10465555,10467469,10483350,10305269,15464765,15459485,15459678,15466329,15304046,15461204,15459011,15460778,15476292,15298233
pcolorfast,500,100,50000,100,10438529.1,15433429.5,10468996,10469916,10316153,10466138,10470092,10477373,10475708,10308430,10467880,10464605,15463839,15465086,15311326,15461050,15465475,15471654,15470003,15303563,15462640,15459659
pcolormesh,500,100,50000,100,50528996.7,140701260.4,50557905,50565737,50401346,50559786,50558780,50559244,50567480,50401634,50558663,50559392,140730173,140737510,140573724,140732270,140731198,140731606,140739353,140573912,140731195,140731663
matshow,500,100,50000,100,10437762.7,15431199.0,10468062,10479764,10306576,10468060,10467133,10473468,10474618,10303903,10465374,10470669,15461450,15472621,15299792,15461181,15461461,15466798,15467713,15297428,15458762,15464784
imshow,500,100,50000,100,10437677.0,15430819.6,10468124,10474686,10305149,10472586,10467388,10468261,10474866,10311132,10467545,10467033,15461374,15467516,15297858,15465892,15460772,15461775,15467843,15303908,15460969,15460289
pcolorfast,500,100,50000,150,10440453.9,15435246.4,10476673,10306007,10469663,10475622,10476540,10321597,10467732,10467037,10467939,10475729,15471134,15300819,15464418,15470089,15470915,15316744,15462637,15462580,15462788,15470340
pcolormesh,500,100,50000,150,50529125.9,140701546.8,50400285,50560062,50559022,50563044,50563391,50397626,50558905,50557993,50564622,50566309,140572712,140733228,140731728,140735383,140735275,140569889,140731363,140730516,140737141,140738233
matshow,500,100,50000,150,10437655.1,15431204.5,10305581,10467078,10467000,10472282,10475328,10305387,10468171,10471384,10467879,10476461,15299155,15460708,15461294,15465888,15468206,15299052,15461677,15465472,15461335,15469258
imshow,500,100,50000,150,10438017.9,15431153.5,10304773,10472182,10466756,10467167,10474590,10307283,10467853,10467883,10467819,10483873,15297887,15465031,15460107,15460482,15467272,15300532,15461206,15461267,15461085,15476666
pcolorfast,500,100,50000,200,10438997.5,15433825.2,10468445,10470042,10475471,10316435,10468091,10468688,10467030,10476058,10312997,10466718,15463144,15464989,15469834,15311490,15462980,15464210,15461928,15470468,15307823,15461386
pcolormesh,500,100,50000,200,50529122.8,140701551.8,50560152,50560568,50563761,50403300,50558269,50559504,50560132,50564514,50401560,50559468,140732738,140733094,140735840,140575667,140731386,140732065,140732639,140736431,140573882,140731776
matshow,500,100,50000,200,10437218.6,15430653.8,10467091,10467375,10478998,10303268,10467934,10465939,10471725,10475317,10305842,10468697,15461196,15461250,15472048,15296477,15461000,15460252,15465209,15467934,15299145,15462027
imshow,500,100,50000,200,10437534.3,15430752.8,10471936,10466204,10472848,10303934,10472291,10467524,10467762,10474851,10309801,10468192,15465117,15459714,15465430,15297273,15465745,15460744,15461446,15467447,15302970,15461642
