plot_type,n_variants,n_samples,n_values,dpi,average,cycle_0,cycle_1,cycle_2,cycle_3,cycle_4,cycle_5,cycle_6,cycle_7,cycle_8,cycle_9
pcolormesh,500,1000,500000,50,0.029500150680541994,0.02900528907775879,0.030993938446044922,0.029000282287597656,0.027998685836791992,0.030001163482666016,0.02900242805480957,0.03099799156188965,0.029000043869018555,0.03000164031982422,0.029000043869018555
matshow,500,1000,500000,50,0.007600235939025879,0.008002042770385742,0.00899958610534668,0.0070002079010009766,0.006998777389526367,0.008001089096069336,0.006998777389526367,0.008002281188964844,0.006999969482421875,0.007999181747436523,0.007000446319580078
imshow,500,1000,500000,50,0.007499909400939942,0.006999492645263672,0.008998394012451172,0.0070056915283203125,0.006996631622314453,0.007998466491699219,0.008000612258911133,0.008000373840332031,0.006999969482421875,0.006999492645263672,0.006999969482421875
pcolorfast,500,1000,500000,100,0.007700014114379883,0.009001016616821289,0.007000923156738281,0.006999015808105469,0.007000446319580078,0.008999109268188477,0.007006168365478516,0.006994485855102539,0.006998777389526367,0.008007526397705078,0.008992671966552734
pcolormesh,500,1000,500000,100,0.03119969367980957,0.02799820899963379,0.030105113983154297,0.02799820899963379,0.029946088790893555,0.03195071220397949,0.027997255325317383,0.02900075912475586,0.028001785278320312,0.027997732162475586,0.05100107192993164
matshow,500,1000,500000,100,0.007499909400939942,0.0070002079010009766,0.008000373840332031,0.0069997310638427734,0.008000373840332031,0.007000446319580078,0.006998777389526367,0.007000446319580078,0.00800180435180664,0.007998466491699219,0.007998466491699219
imshow,500,1000,500000,100,0.007300186157226563,0.007001638412475586,0.005999088287353516,0.008001089096069336,0.007999897003173828,0.006999969482421875,0.0060002803802490234,0.008000612258911133,0.006998777389526367,0.007999897003173828,0.008000612258911133
pcolorfast,500,1000,500000,150,0.007600021362304687,0.006999969482421875,0.008001327514648438,0.007999897003173828,0.006999015808105469,0.006998300552368164,0.00800180435180664,0.00800013542175293,0.00699925422668457,0.00800180435180664,0.00799870491027832
pcolormesh,500,1000,500000,150,0.029499912261962892,0.02900099754333496,0.02999711036682129,0.029000520706176758,0.028999805450439453,0.028999805450439453,0.029001235961914062,0.03199958801269531,0.028998851776123047,0.030004501342773438,0.028996706008911133
matshow,500,1000,500000,150,0.008000421524047851,0.008001089096069336,0.00899958610534668,0.008000373840332031,0.0069997310638427734,0.007000446319580078,0.008001089096069336,0.008999109268188477,0.008001565933227539,0.008000612258911133,0.008000612258911133
imshow,500,1000,500000,150,0.009899640083312988,0.007995843887329102,0.03200030326843262,0.007018089294433594,0.007981300354003906,0.00802302360534668,0.007995128631591797,0.0069828033447265625,0.007002115249633789,0.0069980621337890625,0.0069997310638427734
pcolorfast,500,1000,500000,200,0.007499837875366211,0.006998300552368164,0.00699925422668457,0.008000850677490234,0.007999181747436523,0.007000446319580078,0.007999658584594727,0.0070018768310546875,0.006999015808105469,0.008999347686767578,0.007000446319580078
pcolormesh,500,1000,500000,200,0.029310894012451173,0.027997970581054688,0.029001951217651367,0.028998136520385742,0.03200030326843262,0.028999805450439453,0.029000282287597656,0.029000043869018555,0.02901601791381836,0.031085491180419922,0.02800893783569336
matshow,500,1000,500000,200,0.0075892448425292965,0.007992982864379883,0.007912874221801758,0.007007122039794922,0.009084701538085938,0.0069963932037353516,0.007000446319580078,0.007002353668212891,0.006899356842041016,0.009099245071411133,0.00689697265625
imshow,500,1000,500000,200,0.007210922241210937,0.006996870040893555,0.007018327713012695,0.006998300552368164,0.00800013542175293,0.0069997310638427734,0.007010221481323242,0.006989955902099609,0.007006406784057617,0.008086919784545898,0.007002353668212891
pcolorfast,500,10000,5000000,50,0.016799235343933107,0.015004634857177734,0.013986349105834961,0.03600335121154785,0.013997316360473633,0.013994216918945312,0.015005111694335938,0.016999006271362305,0.014002084732055664,0.014996528625488281,0.014003753662109375
pcolormesh,500,10000,5000000,50,0.2277890920639038,0.22297453880310059,0.23401641845703125,0.22190642356872559,0.22300434112548828,0.2210404872894287,0.22194838523864746,0.2480177879333496,0.21998214721679688,0.2349998950958252,0.23000049591064453
matshow,500,10000,5000000,50,0.014744949340820313,0.01500248908996582,0.027997732162475586,0.013008832931518555,0.013103485107421875,0.011895895004272461,0.012001514434814453,0.017426252365112305,0.012008428573608398,0.013106346130371094,0.011898517608642578
imshow,500,10000,5000000,50,0.01330251693725586,0.013025999069213867,0.016073942184448242,0.012936830520629883,0.011962413787841797,0.013000249862670898,0.011995077133178711,0.016002416610717773,0.01310420036315918,0.010996580123901367,0.013927459716796875
